Timestamp,Team Number,Drive base,Wheel Count,Drive Motor Count,Software Language,Robot Description,Pit Scout Comments,Can collect from ground?,Can collect from stack?,Can collect from portal?,Can deposit cube to switch?,Can deposit cube to scale?,Can deposit cube to vault?,Climb support with bar?,Climb support with ramp?,Can climb?,Can play defense?,Auto modes
3/8/2018 21:41:25,3024,Tank,,4,LabView,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,
3/8/2018 21:42:05,3636,Tank,,4,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 21:42:55,4051,6-wheel drop center,,4,C++,,,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 21:43:32,568,Tank,,4,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 21:44:47,753,Mechanum,,4,Python,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,
3/8/2018 21:45:24,957,West Coast,,6,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 21:46:18,4057,6-wheel drop center,,4,C++,,,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 21:46:55,1359,West Coast,,2,Java,,,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 21:47:35,4043,Tank,,4,Java,,,Yes,Yes,No,Yes,Yes,Yes,No,No,No,,
3/8/2018 21:48:19,847,Mechanum,,4,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 21:49:04,3673,West Coast,,4,Java,,,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,,
3/8/2018 21:51:15,1540,Tank,,4,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,
3/8/2018 21:51:56,997,West Coast,,6,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 21:52:40,1425,West Coast,,6,C++,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,
3/8/2018 21:54:04,4110,West Coast,,2,LabView,,Climb and exchange are maybes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,,
3/8/2018 21:54:56,4127,Tank,,2,LabView,,,Yes,Yes,No,Yes,Yes,No,No,No,Yes,,
3/8/2018 21:56:09,4132,Holonomic,,4,Java,,Scale and climb are maybes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 21:56:56,4309,Mechanum,,4,C++,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,
3/8/2018 21:57:40,5198,Tank,,4,,,,No,No,No,No,No,No,No,No,No,,
3/8/2018 21:58:18,5295,Tank,,4,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,
3/8/2018 21:59:33,2990,West Coast,,4,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,
3/8/2018 22:00:14,2635,Tank,,4,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,
3/8/2018 22:01:52,2521,Tank,,4,Kotlin,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 22:02:43,2471,West Coast,,3,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,
3/8/2018 22:03:18,2374,Tank,,6,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,
3/8/2018 22:03:58,7034,West Coast,,4,Java,,,No,No,Yes,Yes,No,No,No,No,Yes,,
3/8/2018 22:04:48,6845,Tank,,4,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,
3/8/2018 22:05:28,6696,Tank,,4,LabView,,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,
3/8/2018 22:06:23,6443,West Coast,,4,Java,,,Yes,No,No,Yes,Yes,Yes,No,No,No,,
3/8/2018 22:07:08,6445,Tank,,4,C++,,,Yes,No,Yes,Yes,Yes,Yes,No,No,No,,
3/8/2018 22:07:48,6442,Tank,,4,Java,,,Yes,Yes,No,Yes,No,Yes,No,No,No,,
3/8/2018 22:08:38,6343,Tank,,4,C++,,,Yes,No,Yes,Yes,No,Yes,No,No,No,,
3/8/2018 22:09:21,5977,Tank,,4,LabView,,,No,No,Yes,Yes,No,Yes,No,No,No,,
3/8/2018 22:10:16,5748,Tank,,4,LabView,,,No,No,No,No,No,No,No,No,No,,
3/8/2018 22:11:06,5085,Belt Drive,,4,LabView,,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,
3/8/2018 22:13:24,4488,West Coast,,6,Java,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,
3/9/2018 8:14:31,955,West Coast,,4,C++,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,